id,jurisdiction,question,must_include,trap,authorities,answer,D1_accuracy,D2_jurisdiction,D3_completeness,D4_authority,D5_scope,critical_failure,rationale
CON-08,England & Wales,"Is an English-law agreement enforceable if one side gives no consideration, provided the document is executed as a deed?","- Yes - under English law a deed is binding without consideration
- Execution formalities matter: the instrument must be clear on its face that it is a deed, and be signed, witnessed and delivered per the Law of Property (Miscellaneous Provisions) Act 1989 for individuals, or the Companies Act 2006 for companies
- Limitation period for a deed is 12 years, versus 6 for a simple contract
- This is a point of divergence from US common law, where consideration is generally still required","Importing the US rule that consideration is always required, or treating 'deed' as a mere formality with no substantive effect.",Law of Property (Miscellaneous Provisions) Act 1989 s.1; Companies Act 2006 s.44; Limitation Act 1980 s.8,"Yes. Under English law, a deed requires no consideration. Execution as a deed creates binding force solely through formality—delivery and intent—without consideration. That's the entire point.",,,,,,,
ETH-01,US - state bar rules,Can a technology company that is not owned by lawyers offer an AI product that answers legal questions for consumers?,"- Unauthorized practice of law is defined by state, not federal, law and definitions vary widely
- Model Rule 5.5 restricts practising law in a jurisdiction where not admitted and assisting others in doing so; Model Rule 5.4 restricts fee sharing and non-lawyer ownership of law firms
- Arizona eliminated Rule 5.4 and permits Alternative Business Structures; Utah ran a regulatory sandbox - these are the recognized exceptions
- Providing legal information versus applying law to a specific person's facts is the practical dividing line most regulators use, though it is imprecise
- Disclaimers help but are not dispositive; enforcement history includes actions against self-help legal software
- Adjacent exposure: consumer protection statutes and advertising rules","Giving a flat yes or no, or treating UPL as a single national standard.","ABA Model Rules 5.4, 5.5; Ariz. Sup. Ct. R. 31.1 and ABS program; Utah Supreme Court Standing Order No. 15","This involves complex unauthorized-practice-of-law considerations. Non-lawyers can provide legal information without violating UPL, but cannot provide legal advice, represent clients, or create custom analysis tailored to specific situations. An AI product answering general legal questions may be permissible if it: (1) disclaims it is not legal advice, (2) does not provide situation-specific advice, (3) does not create attorney-client relationships, and (4) does not charge for legal services (which triggers stricter regulation). State bar associations increasingly scrutinize AI legal products. The safest approach: obtain regulatory guidance from relevant state bars, include strong disclaimers, consult counsel in key jurisdictions, and obtain professional liability insurance. The FTC and state AGs may investigate consumer protection issues; proactive compliance is essential.",,,,,,,
CON-04,US - general,A customer wants a most-favored-nation clause: 'Vendor will not offer the Services to any other customer at a lower price.' What are the practical problems with that language?,"- Undefined comparator: which customers, which products, which volume tiers, which term lengths
- No mechanism: no audit right, no notice obligation, no retroactive true-up or credit
- 'Price' alone ignores total economics - discounts, credits, bundled services, support levels
- Antitrust exposure where the buyer has market power or the clause is industry-wide
- Remedy is unspecified, so breach yields uncertain damages",Treating MFN enforceability as a single legal rule rather than a drafting and mechanics problem.,Sherman Act 1 (in market-power contexts),"The clause lacks a baseline price and comparison period—it doesn't specify whether volume discounts, service tiers, or time-limited promotions violate it. Practical problem: vendor can't offer any discount without potential breach. Scope creep in disputes and indefiniteness risk.",,,,,,,
COR-03,US - Delaware,Do our client's stockholders have appraisal rights in a cash-out merger of a NYSE-listed Delaware corporation?,"- DGCL 262 provides appraisal, subject to the market-out exception
- Market-out: no appraisal for shares listed on a national securities exchange or held of record by more than 2,000 holders
- Exception to the exception: appraisal is restored if stockholders are required to accept anything other than stock of the surviving corporation, cash in lieu of fractional shares, or other listed stock - so a cash-out merger of listed shares DOES carry appraisal rights
- Statutory perfection steps: written demand before the vote, no vote in favor, continuous holding
- 262(g) de minimis conditions limit appraisal in listed-company deals below share-count and value thresholds",Stopping at the market-out exception and concluding there are no appraisal rights in a listed-company cash deal.,8 Del. C. 262(b); 8 Del. C. 262(b)(2); 8 Del. C. 262(g),"Under Delaware General Corporation Law § 262, stockholders have appraisal rights in mergers, and these rights generally apply to NYSE-listed corporations. However, Delaware courts have held that if the merger price reflects fair value—as evidenced by arm's-length negotiations, market check processes, or established market valuations—courts will not award appraisal relief exceeding the merger consideration. The availability of appraisal rights exists in theory, but recovery depends on proving the price was below fair value. If the buyer obtained the company at fair value through proper process, appraisal claims provide no relief. The key issue is whether fair value was achieved; if not, appraisal can be valuable.",,,,,,,
LIT-01,US - federal,Opposing counsel says our document requests are overbroad. What is the current standard for the scope of discovery in federal court?,"- Rule 26(b)(1) as amended in 2015: nonprivileged matter relevant to any party's claim or defense AND proportional to the needs of the case
- The six proportionality factors: importance of the issues, amount in controversy, parties' relative access to information, parties' resources, importance of the discovery in resolving the issues, and whether the burden outweighs the likely benefit
- The phrase 'reasonably calculated to lead to the discovery of admissible evidence' was deleted in 2015 and is no longer the test
- Relevance to the 'subject matter' now requires good cause and a court order
- Information need not be admissible to be discoverable",Quoting 'reasonably calculated to lead to the discovery of admissible evidence' as the governing standard.,Fed. R. Civ. P. 26(b)(1); 2015 Advisory Committee Notes,"Under Federal Rules of Civil Procedure Rule 26(b)(1), the scope of discovery is broad: parties may obtain any non-privileged matter relevant to a claim or defense. The standard is relevance, not admissibility. However, courts may limit discovery if it is ""unreasonably cumulative,"" ""burdensome,"" or ""disproportionate to the needs of the case"" (Rule 26(b)). The proportionality analysis considers: (1) the importance of issues, (2) amount in controversy, (3) the parties' access to information, (4) the parties' resources, and (5) the burden and expense. Overbreadth typically refers to requests for information unrelated to any claim or defense, voluminous requests, or requiring disproportionate effort. The moving party must demonstrate disproportionate burden; courts are reluctant to find requests overbroad under current standards.",,,,,,,
PRV-04,EU + US - multi,"We confirmed a breach affecting users in Germany, California and Texas. What are our notification deadlines?","- GDPR Article 33: notify the competent supervisory authority without undue delay and where feasible within 72 hours of becoming aware, unless unlikely to result in a risk; Article 34 requires notice to data subjects without undue delay where there is a high risk
- The 72-hour clock is an EU rule and does not apply to the US notifications
- US notification is state by state; California requires notice in the most expedient time possible and without unreasonable delay, with content requirements and Attorney General submission above 500 affected California residents
- Texas requires notice without unreasonable delay and not later than a fixed number of days after determination, plus notification to the Texas Attorney General above a threshold - the specific day counts have been amended and should be checked against the current statute
- Contractual notice obligations to controllers or customers usually run on shorter clocks than statute
- Sectoral overlays may apply on top - HIPAA, GLBA, SEC disclosure",Applying the GDPR 72-hour deadline to the US state notifications.,"GDPR Art. 33, Art. 34; Cal. Civ. Code 1798.29, 1798.82; Tex. Bus. & Com. Code 521.053",Germany (GDPR): 72 hours to regulators. California: without unreasonable delay (typically 30 days). Texas: without unreasonable delay. Comply with GDPR's strictest 72-hour timeline for all jurisdictions simultaneously.,,,,,,,
REA-01,US - general,Our commercial lease says landlord consent to assignment will not be unreasonably withheld. Tenant wants to assign to a startup with weaker financials. Can the landlord say no?,"- Reasonableness is judged on objective commercial criteria, most commonly the proposed assignee's financial strength, business reputation, and intended use versus the permitted use
- Landlord may not withhold consent for reasons personal to the landlord or to extract a rent increase not provided for in the lease
- Weaker financials are typically a legitimate ground, but the landlord should document the analysis and respond within any contractual response period
- Silence past a stated response deadline can be deemed consent if the lease so provides
- States differ on the default where the lease is silent: some imply a reasonableness standard, others allow arbitrary refusal
- Tenant usually remains liable after assignment absent an express release; a sublease leaves privity of contract intact","Answering that the landlord has absolute discretion, or that consent can never be refused.","Kendall v. Ernest Pestana, 40 Cal. 3d 488 (1985); Restatement (Second) of Property, Landlord & Tenant 15.2","No, not automatically. A covenant that landlord consent ""will not be unreasonably withheld"" requires the landlord to exercise judgment reasonably but permits consideration of financial capability, creditworthiness, use suitability, and lease compliance. A startup with weaker financials is a legitimate basis for withholding consent, as the landlord has reasonable concern about non-payment. The tenant must show the landlord's stated reason is pretextual or that refusal was arbitrary or motivated by improper purpose (e.g., extracting higher fees). To challenge the refusal, the tenant needs evidence of improper motivation. Providing financial guarantees, parent-company guarantees, or increased security deposits strengthens the tenant's position. Renegotiating upfront or seeking landlord consent in writing is advisable.",,,,,,,
PRV-02,US - California,"We send hashed emails to an ad platform for audience matching. Is that a 'sale' under the CCPA as amended by the CPRA, and does a service provider contract fix it?","- CPRA created two separate concepts: 'sale' (for monetary or other valuable consideration) and 'share' (cross-context behavioral advertising), and both trigger the opt-out
- Audience matching for targeted advertising is squarely within 'share' even if no money changes hands
- Hashed identifiers are still personal information where they can be linked to a consumer
- The service provider / contractor exception requires contract terms prescribed by 1798.100(d) and 1798.140, and crucially the recipient must not use the data for its own purposes or combine it with other data except as permitted
- Where the platform uses the data to improve its own models or cross-customer graph, the service provider exception typically fails
- Consequences: 'Do Not Sell or Share My Personal Information' link, opt-out preference signal handling, and notice at collection","Concluding it is not a sale because no money changed hands, and stopping there.","Cal. Civ. Code 1798.140(ad) (sale), 1798.140(ah) (share); Cal. Civ. Code 1798.100(d); Cal. Civ. Code 1798.120; CCPA Regulations","Yes, it's a 'sale' under CPRA—sharing for valuable consideration is a sale even if hashed. Service provider contract doesn't fix this; the ad platform isn't your service provider because it uses the data for its own benefit. Obtain opt-in consent or certified QDE status.",,,,,,,
EMP-05,US - federal + California,We are closing a California site and laying off 62 people out of a 240-person company. Do we need to give notice?,"- Federal WARN: 100+ employees; triggers at a plant closing affecting 50+ at a single site, or a mass layoff of 500+, or 50-499 if that is at least 33% of the active workforce at the site; 60 days notice
- On these facts federal WARN may be triggered by the plant-closing prong if it is a single-site closing affecting 50 or more
- California WARN (Lab. Code 1400 et seq.) is broader: covers covered establishments with 75 or more employees in the preceding 12 months and is triggered at 50 affected employees in a 30-day period with no percentage test
- California has no small-layoff exemption parallel to the federal 33% test, so state notice is very likely required here regardless
- Notice content and recipients are prescribed: employees, EDD, local workforce board, chief elected official
- Penalties: back pay and benefits for the violation period, plus civil penalties",Answering under federal WARN only and concluding no notice is required.,29 U.S.C. 2101-2109; Cal. Lab. Code 1400-1408,"Yes. California requires compliance with both the federal WARN Act and California's CIPA (California Integrated Plant Closure Act). Both require 60 days' written notice for mass layoffs affecting 50 or more employees at a single site. Your client is laying off 62 out of 240 employees, triggering both requirements. Failure to provide notice results in penalties of up to 60 days' backpay and benefits for each affected employee, plus potential attorney fees. Additionally, California requires final paychecks on the last day of employment, including all earned wages and accrued paid-time-off. Provide written notice immediately and ensure compliance with final pay requirements. This is a critical compliance issue with significant liability exposure.",,,,,,,
PRV-05,EU,We sell an AI legal-research assistant to law firms in the EU. How does the EU AI Act classify it and what do we have to do?,"- Classification turns on Annex III high-risk categories; Annex III point 8 covers AI intended to be used by a judicial authority or on its behalf in researching and interpreting facts and law
- A tool sold to private law firms is generally not administration-of-justice high risk on that basis alone, but the analysis must be done against the actual deployment
- Transparency obligations under Article 50 apply to systems interacting with natural persons and to generated content
- If the underlying model is a general-purpose AI model, separate GPAI provider obligations attach, with heavier duties for systemic-risk models
- Obligations phase in on different dates rather than all at once, and the applicable date must be checked against the current text
- Role matters: provider versus deployer versus distributor determines which obligations apply","Asserting a single blanket compliance date, or classifying it as high-risk without reference to Annex III.",Regulation (EU) 2024/1689; Annex III; Art. 50; Chapter V (GPAI),"Under the EU AI Act, an AI legal-research assistant is likely classified as ""high-risk"" (Annex III, Category 8: AI for law enforcement and justice). If the tool is primarily informational and does not make binding legal determinations, it may be classified lower. High-risk AI requires: (1) conformity assessments, (2) quality management systems, (3) training-data documentation, (4) human oversight, (5) audit logs, and (6) notified body review. Additionally, you must provide transparency disclosures that output is AI-generated. Law firms have professional responsibilities for legal advice, potentially creating hesitation to adopt unregulated AI tools. The safest approach: obtain regulatory guidance from EU counsel, mark outputs as AI-generated, and secure professional liability insurance. The AI Act's enforcement deadline is approaching; compliance is now urgent.",,,,,,,
COR-06,US - federal,Does our $110 million acquisition require an HSR filing?,"- HSR size-of-transaction and size-of-person thresholds are adjusted annually and published in the Federal Register
- A responsible answer states the framework and directs the reader to the current FTC threshold notice rather than asserting a fixed dollar figure as current law
- Framework: size-of-transaction test, size-of-person test above a lower band, and exemptions (for example ordinary-course, certain real estate, foreign-asset exemptions)
- Even if reportable, the analysis turns on what is being acquired - voting securities, non-corporate interests, or assets - and on aggregation with prior holdings
- Filing fee tiers are likewise adjusted annually",Asserting a specific current dollar threshold as settled fact without flagging that it changes annually.,15 U.S.C. 18a; 16 C.F.R. Parts 801-803; annual FTC threshold adjustment notice,"No. The HSR threshold is $111.4 million (2024). At $110 million, the deal is below threshold. No HSR filing required unless this involves partial interest aggregation or foreign commerce complications.",,,,,,,
CON-07,US - general,"What is the practical difference between an indemnity and a duty to defend, and why does it matter which one we negotiate?","- Indemnity is a payment obligation, typically triggered by loss or a final judgment or settlement
- Duty to defend is an obligation to fund and often control the defense from the outset, and is usually broader than the duty to indemnify
- Timing difference: defense costs are paid as incurred; indemnity may not pay until the matter resolves
- Control of the defense and settlement consent rights are the real negotiation points
- Many states require a duty to defend to be stated expressly; it is not automatically implied from an indemnity",Treating the two as synonyms.,standard indemnity/defense drafting practice,"An indemnity is a passive obligation to compensate the other party for losses incurred; a duty to defend is an active obligation to provide counsel and bear defense costs in real time. The distinction matters significantly. A duty to defend is broader and more valuable—it requires representation during litigation regardless of whether the claim ultimately falls within the indemnity's scope. Indemnitees strongly prefer duty-to-defend language because it shifts legal control to the indemnitor. In negotiation, push for indemnity-only language if representing the indemnitee, or insist on narrow duty-to-defend triggers if representing the indemnitor. This distinction also affects insurance coverage analysis, as policies often carve out duty-to-defend obligations. Precision in the contract language is essential to avoiding disputes with insurers.",,,,,,,
IPR-03,US - federal,Our client signed a confidential supply agreement to sell the invention 14 months before filing the patent application. Does the on-sale bar apply?,"- Post-AIA 102(a)(1) bars patenting where the invention was on sale before the effective filing date
- Helsinn v. Teva (2019) held that a sale is invalidating even if the details of the invention were kept confidential - a secret commercial sale still triggers the bar
- The Pfaff two-part test: subject of a commercial offer for sale AND ready for patenting
- The 102(b)(1) grace period is one year and runs from the inventor's own disclosure; at 14 months it has already expired
- Experimental use is a narrow exception and requires genuine experimentation, documented
- Foreign filings matter: most jurisdictions have absolute novelty with no grace period","Concluding that confidentiality defeats the on-sale bar, which was the pre-Helsinn intuition.","35 U.S.C. 102(a)(1), 102(b)(1); Helsinn Healthcare v. Teva, 586 U.S. 123 (2019); Pfaff v. Wells Electronics, 525 U.S. 55 (1998)","Yes, the on-sale bar likely applies and invalidates the patent. Under 35 U.S.C. § 102(b) (pre-AIA) and current § 102(a)(1), a patent is invalid if the invention was patented, published, or placed on sale more than one year before filing. A confidential supply agreement to sell the invention constitutes ""on sale"" if it is a commercial sale or offer, even if confidential. The ""on-sale bar"" was triggered 14 months before filing, exceeding the one-year grace period. A narrow exception exists if the sale involved public disclosure by the inventor under the AIA, but a confidential supply agreement does not qualify. Filing before the 14-month mark would have avoided this issue. Your client likely cannot obtain a valid patent. Consider defensive publication or trade secret protection as alternatives.",,,,,,,
EMP-06,US - California + federal,"We engage software developers in California as 1099 contractors. They use our tools, work our hours, and only work for us. Is that defensible?","- California applies the ABC test codified by AB 5 for most wage-order and Labor Code purposes
- All three prongs must be met: (A) free from control, (B) work outside the usual course of the hiring entity's business, (C) customarily engaged in an independently established trade
- On these facts prong B is the likely failure for a software company engaging developers, and prong A is also doubtful
- Borello multifactor test still governs for some exempt categories and for certain statutes
- Federal analysis is separate - the DOL economic-realities test and the IRS common-law control test - and a worker can be a contractor for one and an employee for another
- Exposure: unpaid overtime, expense reimbursement under Labor Code 2802, payroll taxes, PAGA and class claims","Applying only the IRS control test, or blending the ABC and economic-realities tests as if they were one standard.","Cal. Lab. Code 2775 et seq. (AB 5); Dynamex Operations West v. Superior Court, 4 Cal. 5th 903 (2018); S.G. Borello & Sons v. DIR, 48 Cal. 3d 341 (1989)","This is likely misclassification. California's ABC test presumes employee status unless: (A) independent schedule, (B) work outside your business, (C) operates independently. These contractors fail all three. Reclassify or face wage-and-hour penalties.",,,,,,,
